จูล,ยานอวกาศ,0.95
ดินแดนพันธสัญญา,เมืองบากุ,1.08
รถยนต์,จักรยาน,2.58
รูปทรงหลายหน้า,นักแสดงชาย,0.64
โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,3.95
ช้อผิดพลาด,ระบบ,1.28
อาวุธ,หมวกนิรภัย,0.84
คนเขียนบท,โทรทัศน์,1.41
สหประชาชาติ,บัน คี มูน,1.58
สะพานซิโอเซพอล,สะพานคณิตศาสตร์,2.38
โบสถ์ใหญ่,โมเสค,1.69
การวาดภาพสีน้ำ,แปรง,1.89
ประชาธิปไตย,ระบอบกษัตริย์,2.19
เกาส์,นักวิทยาศาสตร์,1.09
วัณโรค,แอลอีดี,0.56
รถขับตัวเอง,รถอัตโนมัติ,3.7
วันสิ้นโลก,ไฟ,0.67
ความเร็ว,ไปรษณีย์,1
เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,3.28
แล็ปท็อป,โน๊ตบุ๊ค,3.97
แฮรี่ พ็อตเตอร์,พ่อมด,3.23
สโนว์บอร์ด,การเล่นสกี,2.98
ตัวชี้,สไลด์,1.81
เซ็นเซอร์,รังสี,2.23
ตี,กรอบ,0.55
ทฤษฎี,สมมติฐาน,2.48
วอลล์สตรีท,ตลาดเงิน,2.59
ดาร์วิน,วิวัฒนาการ,1.64
นักแสดงชาย,นักแสดงหญิง,3.11
ภาพยนตร์,โรงภาพยนตร์,2.44
เพลงชาติ,การรักชาติ,2.03
จอภาพ,จอคอมพิวเตอร์,3.47
นมเนย,น้ำผึ้ง,2.16
ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,4
ชักเย่อ,บันไดงู,1.58
ยาฆ่าแมลง,แมลง,1.89
ตำรวจ,นักการเมือง,2.27
ประสาทวิทยา,ปรจิตวิทยา,2.19
แบตเตอรี่,พลังงาน,2.75
กองทหารเกียรติยศ,เครื่องเขียน,0
สไปเดอร์แมน,ถนน,0.27
คาบสมุทร,เกาะ,1.83
เส้นศูนย์สูตร,เอกวาดอร์,1.31
แผนผัง,กราฟ,2.25
การจำลอง,ศาสตร์หุ่นยนต์,1.59
ไนกี้,อดิดาส,3.16
สังคม,วัฒนธรรม,2.84
เกมกลยุทธ์,กลยุทธ์,3.13
โบสถ์,โบสถ์ใหญ่,3.75
ล่าม,ชาวต่างชาติ,2.17
ไปโอโทป,ชีววิทยา,2.67
แมกม่า,ภูเขาไฟ,2.75
การระดมสมอง,กล้องโทรทรรศน์,0.27
ระดับ,คะแนน,2.55
เพนนี,ต่อรอง,0.61
พรรคการเมือง,สมาคม,2.31
สึนามิ,ทะเล,2.14
นกกระจอกเทศ,สวนกล้วยไม้,0.06
อบเชย,ลูกอม,0.38
ไม้กวาด,ฝุ่น,2.19
แกแลคซี่,นักดาราศาสตร์,2.13
น้ำผลไม้,มิลค์เชค,2.31
มู่ลี่,ม่าน,3.38
อาชญากร,ผู้กระทำผิด,3.58
มะเร็งตับอ่อน,การทำคีโม,2.05
อดีต,มาก่อน,2.86
สหประชาชาติ,รัฐสภายุโรป,2.85
เพลง,ผู้แสดง,1.41
ปืน,โน๊ตบุ๊ค,0
สารสื่อประสาท,ม่านตา,1.77
อักษร,ปากกา,1.78
ประสานเสียง,นักร้อง,2.36
ไม้,ผ้าห่ม,0.06
ทหาร,สันติภาพ,1.69
ชาวอังกฤษ,ชาวอเมริกัน,2.78
กิ้งก่า,จระเข้,2.41
เงิน,เงินสด,3.7
ปลาหมึกพอล,ปลาหมึกยักษ์,3.48
ปฏิทิน,วันหยุด,1.98
เบส,สารเคมี,2.23
รัฐบาล,กิ้งก่า,0.13
เงินเยน,การฟอกเงิน,1.09
ดีพไมนด์,กูเกิ้ล ดีพไมนด์,2.95
หมากรุก,รุก,1.45
โคลง,ความงาม,0.8
คนงาน,สำนักงาน,1.58
เงินตรา,แลกเปลี่ยน,1.78
ใยสังเคราะห์,ฝ้าย,2.58
ศาล,ยุติธรรม,2.3
หาง,ท้าย,2.91
อุบัติเหตุ,หนังสือ,0.06
พายุ,ลม,2.77
เปียโน,ประสานเสียง,1.95
สุลต่าน,กระทรวง,0.72
ทะเลทราย,เนินทราย,2.5
การคูณ,การหาร,2.75
ไวรัส,เลือด,1.41
ยุคน้ำแข็ง,พระราชบัญญัติ,0
ดาบ,สภาพแวดล้อม,0.06
โรงเรียนประถม,ปากกา,0.78
จิ้งหรีด,ผู้สนับสนุน,0
ประติมากรรม,รูปปั้น,3.52
เว็บเบราเซอร์,ไฟร์ฟอกซ์,3.25
ฟอกซ์ เทอร์เรียร์,แคนอน,0.61
เอชเอสบีซี,ประเทศอังกฤษ,0.73
คัมภีร์ไบเบิ้ล,พระกิตติคุณ,1.81
ชุดเดรส,เต้นรำ,1.83
แถว,รายการ,2.03
กรง,คุก,3.22
เรียงความ,การบ้าน,1.95
คอมพิวเตอร์,เครื่องจักร,3.02
หมีแพนด้า,หมีขาว,3.06
โรคประสาทพิการ,จิตใจ,1.34
รณรงค์,ลิง,0.25
ค่าคงที่ฟาราเดย์,เครื่องหลัง,0.06
วัง,ตึกระฟ้า,1.56
เฮลิคอปเตอร์,เครื่องบิน,2.88
มหาวิทยาลัยเคมบริดจ์,มหาวิทยาลัยออกซ์ฟอร์ด,3.16
ธง,เสา,2.19
หน้าต่าง,หลังคา,2.14
เกมการ์ด,ร่อน,0.09
มัลแวร์,เวิร์ม,3.11
ดาวเคราะห์,ดาวฤกษ์,2.97
นักวิ่ง,นักกีฬา,3.02
เครื่องวัด,ร่ม,0.06
ไวไฟ,วิกิลีก,0.31
แล้ง,น้ำ,1.75
สนามบิน,ชิ้น,0.13
ออเคสตร้า,วงดนตรี,2.78
โมจิโต,โมฮิโต,3.05
แผนการสอน,การสอบ,2.05
ทฤษฎีบท,ทฤษฎี,3.45
โยโย,ของเล่น,2.53
พายุหิมะ,ฝน,2.05
นักประวัติศาสตร์,นักประวัติศาสตร์นิพนธ์,3.03
ซีเมนส์,รถไฟไฟฟ้า,0.41
ศตวรรษ,ปี,2.77
โลหะผสม,เหล็กกล้า,3.11
ผู้พิพากษา,ผู้พิพากษา,4
ความโกลาหล,ชั้นเรียน,0.31
การศึกษาทางไกล,อินเทอร์เน็ต,2.14
ทราย,เท้า,0.34
ไอเอ็มเอฟ,ธนาคารดอยซ์,2.13
นิตยสารการ์เดียน,นิตยสารไทม์,3.17
ตัวไหม,ทางสายไหม,0
อิสรภาพ,โอเอซิส,0.06
ไซโทพลาซึม,เลขโดด,0.13
นิกายโปรแตสแตนท์,ชาวคริสต์,2.55
ลีโอ นาร์โดดาวินชี,พระกระยาหารมื้อสุดท้าย,1.5
แผนที่,จัตุรัส,1.02
รัฐสภา,สภาคองเกรส,2.98
การระดมทุน,การพัฒนา,1.77
พยาธิวิทยา,โลหิตวิทยา,1.91
หุบเขา,พายุดีเปรสชัน,0.72
กล้องโทรทรรศน์,เก้าอี้,0.09
โลหะหนัก,เวที,0.14
โลกาภิวัฒน์,วีซ่า,0.81
ค้างคาว,แวมไพร์,1.98
รองหัวหน้า,เจ้าหน้าที่,2.19
ไฟฟ้า,กรณี,0.19
คนต่างด้าว,คนนอกพื้นที่,3.27
กระดุม,จักรเย็บผ้า,1.75
พ่อมด,สายเคเบิ้ล,0
นักปรัชญา,การแข่งขัน,0.58
ข้าวโพดคั่ว,โรงภาพยนตร์,1.8
การเกษตร,พืช,2.25
กวี,นักข่าว,0.89
อากาศ,คลื่น,1.23
อารยธรรม,วิถีการดำเนินชีวิต,2.61
หิมะ,น้ำแข็ง,2.92
สงครามโลกครั้งที่ 2,บีโธเฟ่น,0.25
แผงวงจรหลัก,เมนบอร์ด,3.66
สมาคม,เครื่องหมาย,0.84
อเล็กซานเดอร์มหาราช,ผู้พิชิต,2.44
แอพ,กาแลคซี่,0.06
การคำนวณแบบคลาวด์,ฝน,0.25
โทรทัศน์,นักแสดงชาย,1.67
สันดอน,ทะเล,1.83
เส้นด้าย,ด้าย,4
ทางข้ามถนน,บุคคล,0.5
โปรตีน,ที่จับ,0.06
วงยูทู,โรนัลโด้,0.06
แอปเปิ้ล,ไอโฟน,1.92
เปปเปอร์มินท์,หมากฝรั่ง,2.27
โปสเตอร์,บทความ,1.55
ยูนิเซฟ,ราก,0.06
โรคเกลียดกลัวชาวต่างชาติ,ลัทธิเหยียดผิว,1.44
วูดดี อัลเลน,เลนส์,0.58
ตะเกียง,จีนนี่,1.61
กองทัพเรือ,เกาะ,0.97
กำแพง,ปราสาท,1.78
ไดโนเสาร์,ช้าง,2.14
หอนาฬิกา,หิน,0.38
ตะวันออกกลาง,แม่น้ำยูเฟรติส,1.63
ทุ่งหญ้า,ทุ่งหญ้า,4
กีต้าร์,ไวโอลิน,3.03
การทูต,การต่อรอง,2.22
แรงโน้มถ่วง,ดาวตก,1.53
ไอคิว,สถาบันเมนซ่า,1.75
ธงชาติอังกฤษ,ธง,2.95
แผ่นดินไหว,การสั่นสะเทือน,2.94
ทรัพย์สิน,หุ้น,2.38
ฮิบรู,เยรูซาเล็ม,2.31
มืดครึ้ม,พยากรณ์,1.02
พจนานุกรม,สารานุกรม,3.13
มินท์,พิพิธภัณฑ์,0
เก้าอี้,ม้านั่ง,3.31
ชาวสเปน,ความชื้น,0.06
กระป๋อง,ขวด,2.8
แมลงวัน,มด,2.5
ตำนาน,เรื่องเสียดสี,0.67
ใจกลางเมือง,รถประจำทาง,1.13
หาง,โบอิ้ง 747-200,0.78
งานศิลป์,ศิลปิน,2.31
นาโต้,พันธมิตร,2.52
กษัตริย์,ผู้ปกครอง,3.33
จังหวะ,จังหวะ,4
อเล็กซานเดอร์ เฟลมมิง,ยาเพนนิซิลิน,0.73
ฟลุ๊ต,ดนตรี,2.08
นกกระสานวล,ทะเลสาบ,1.53
ความหนืด,กระเซ็น,0.86
ฮาร์ดแวร์,เคส,1.36
แหวน,การหมั้น,2.28
ภาษาละติน,ภาษาเยอรมัน,2.63
ชนชั้นแรงงาน,โรงงาน,1.83
เชกสเปียร์,ดิกคินส์,2.22
ธนบัตร,นักบวช,0.13
เครื่องมือ,งาน,1.52
หมูแคระ,สัตว์พวกหมู,3.08
สิทธิเลือกตั้ง,ทางออก,0.48
ดวงดาว,ความสว่าง,1.83
ปลาเทราท์,กีตาร์,0
ดอลลาร์,เศรษฐี,1.48
ตัวเลข,เลข,4
ลมแรง,ผ้าห่ม,0.53
โอบามา,คลินตัน,2.38
ตัวประกอบ,ภาพยนตร์,2.23
ยูเวนตุส,บาเยิร์น มิวนิค,2.7
อากาศเปลี่ยน,ฝนตก,1.67
เอไอ,แบตเตอรี่,0.56
งานชิ้นเอก,โมนาลิซ่า,1.98
อาชญากรรม,การโจมตี,2.55
ราชาภิเษก,น้ำ,0.13
นักร้องนำ,สต๊าฟ,0.92
การแข่งขันรอบตัดเชือก,บาสเก็ตบอล,1.44
กองทัพ,การป้องกัน,1.86
ทะเลสาบ,เมฆ,0.63
สำนักสงฆ์,อาบน้ำฝักบัว,0.06
ภาษาแม่,ภาษา,2.72
ท่าเรือ,เสื้อคลุม,0.19
ปีศาจ,เทพ,2.52
ปริศนา,สัญลักษณ์,1.59
วิทยาเขต,มหาวิทยาลัย,2.48
อิสรภาพ,อิสรภาพ,4
ไต้ฝุ่น,ไซโคลน,3.28
คู่มือ,คู่มือแนะนำ,3.88
อีโบล่า,ไวรัสอีโบล่า,3.86
เจ้าหญิง,บิสกิต,0.38
รถไฟ,รถราง,3.55
ระบบนิเวศ,เศรษฐกิจ,0.91
ราชินีนาถ,ควีนหมากรุก,0.73
ทอง,สังกะสี,2.33
เคอร์เซอร์,มันฝรั่งทอด,0.06
อเมซอน,ป่า,2.22
เทนนิส,สถิติ,0.53
โบลซาโน,ทฤษฎีบท,0.63
ความสูงเหนือระดับน้ำทะเล,การแปลง,0.42
เรือ,ต้นไม้,0.31
บัลลังก์,ดาบ,0.91
ฝ้าย,เสื้อหนาว,1.69
เชอรี่,สตรอเบอรี่,2.78
อิสลาม,กุรอาน,2.33
มนุษย์นีเอนเดอร์ธัล,กีฬา,0.13
การเล่นพรรคเล่นพวก,กษัตริย์,0.56
บุคลิก,บุคคล,1.55
รถถัง,รถยนต์,2.52
ดาวพุธ,ดาวพฤหัส,2.94
หลอดลมอักเสบ ,ยาแก้ปวด,1.27
เลือด,ร่างกาย,2.17
ความกลัวอิสลาม,ไอซิส,1.3
ถักไหมพรม,เครื่องแบบ,0.77
ฮาดูป,จอสัมผัส,0.56
เชื่อเพลิงฟอสซิล,ฟอสซิล,2.39
ผ่าเหล่า,ชีวสังคมวิทยา,1.34
พี่สาว,พี่ชาย,2.98
ดินสอ,เรื่องราว,0.59
กลาก,โรคผิวหนัง,2.59
จักรพรรดิ,ผู้ครองรัฐ,2.67
มงกุฎ,กุญแจ,0.25
พีชคณิต,ปฏิบัติการ,0.47
ลูกสูบ,เครื่องยนต์,2.08
ทุนการศึกษา,ค่าเทอม,2.56
หนังสือ,ต้นฉบับ,1.84
ผกากรอง ,ดอกลิ้นมังกร,2.59
หลุมดำ,สุญญากาศ,2.52
จักรวรรดิ์เปอร์เซีย,พระเจ้าไซรัส,2.67
บทบรรณาธิการ,ข่าว,2.44
การตกแต่ง,ซอง,0.38
ฉลามวาฬ,ล็อบสเตอร์,1.98
ข้าวโพด,ข้าวโพด,4
โรคไบโพล่าร์,ปัญหา,1.2
กรด,ด่าง,2.44
ศูนย์สัมบูรณ์ ,ไอ,0.92
การปฏิวัติเขียว,ทาสี,0.13
ระบบปฏิบัติการ,การเรียนรู้เชิงลึก,1.09
คณิตศาสตร์โอลิมปิก,ทฤษฎี,1.06
เอล นินโญ่,เส้นศูนย์สูตร,1.3
เครื่องหมาย,แก้ว,0.13
คฤหาสน์,ประติมากร,0.75
บรรยากาศ,โอโซน ,2.66
โล่,โล่กลมเล็ก,3.56
เหรียญ,การชำระเงิน,2.08
ข้าวโอ๊ต,ทุ่งนา,1.72
พระ,ไม้กางเขน,1.58
เรือปืน,ชายฝั่ง,1.33
หิน,เหมือง,2.17
ตำนาน,คุณธรรม,0.27
แชมป์,ผู้ชนะ,3.73
ลูกเต๋า,ลูกบาศก์,2.84
โทโพโลจี,โครงสร้าง,2.78
โบสถ์เล็ก,สายเคเบิ้ล,0.06
กระแสเงินสด,แม่น้ำ,0.06
ฆาตกรต่อเนื่อง,ฆาตกร,3.3
เมตริกซ์,โมเลกุล,0.89
แฟชั่น,สไตล์,2.95
ธัชวิทยา,ธง,1.22
สนธิสัญญามาสทริชต์,ยุโรป,1.91
น้ำพุร้อน,น้ำพุ,2.89
น้ำตาลซูโครส,คาร์โบไฮเดรต,2.38
ชายหาด,ชายฝั่ง,3.58
ตลาดหุ้น,การซื้อขายหุ้น,2.55
ประเพณี,หัตถกรรม,1.22
นิยาย,นักเขียน,2.08
แซนด์วิช,ซับเวย์,1.8
อคูสติก,เสียง,2
กีฬาฟันดาบ,ยิมนาสติก,2.14
นักเขียน,ของขวัญ,0.2
ป่าไม้,ไทเกอร์ วู้ด,0.06
เมฆ,หน้าต่าง,0.23
เจเพก,พีดีเอฟ,2.77
ผู้กำกับ,เจ้านาย,1.89
ภาษี,เบรกซิต,0.41
การผสมเกสรดอกไม้,เกสรดอกไม้ตัวผู้,2.17
วิดิโอเกม,เกมคอมพิวเตอร์,3.17
การรักษา,การผ่าตัด,2.64
ข้าวเปลือก,มันฝรั่ง,1.38
การจดข้อความ,การมอบหมาย,0.58
หมาจิ้งจอก,เม็ดเลือด,0
โซเดียมคลอไรด์,เกลือ,3.22
รายได้,คุณภาพชีวิต,1.66
พินัยกรรม,ความตั้งใจ,1.16
เข็มทิศ,ช้าง,0.19
ภาคต่อ,กล้อง,0.22
ภาพยนตร์,ฟิล์ม,2.52
นายสิบ,ปืน,1.48
โรงโม่,เมล็ด,1.27
ไอศกรีม,อาหารเช้า,0.78
กุญแจ,ล็อค,2.25
โทรศัพท์มือถือ,โทรศัพท์,3.59
อนุบาล,เด็กก่อนวัยเรียน,3.22
โลกตะวันตก,เวสเทิร์นยูเนียน,2.39
กล้าไม้,ใบ,1.89
ฝน,ลูกเห็บ,1.97
ความสุข,ความเศร้า,2.56
ตัวไหม,หนอนผีเสื้อ,2.39
การเล่นเซิร์ฟ,กีฬาทางน้ำ,2.45
รถยนต์,รถบรรทุก,3
อาหาร,โปรแกรม,0.19
นิยายกราฟิก,หนังสือการ์ตูน,2.5
งู,กิ้งก่า,2.33
สับปะรด,สมาร์ทโฟน,0.06
วอลล์เปเปอร์,พื้นหลัง,3.63
เซลเซียส,ไมโครซอฟต์,0.06
รวม,อ้อย,0.06
ยีนส์,ผุ้หญิง,1.03
เมตริกซ์,เวกเตอร์,1.98
คาร์บอนไดออกไซด์,ซีโอทู,3.69
โค้ช,ผู้เล่น,2.11
หิน,ไม้,1.8
ตัวชาร์จ,แผ่นดิสก์,0.67
ตันฉบับ,บทความ,1.89
จีเมล,ยาฮู,3.17
ตัวเก็บประจุ,ไดโอด,2.88
คอรัปชั่น,การโกง,3.81
โคคาโคล่า,โค้ก,3.92
เพลโต,อริสโตเติล,2.52
สงครามเย็น,สหภาพโซเวียต,2.3
หัวฉีด,ของเหลว,1.22
สัทวิทยา,จอภาพ,0.77
ซาร่า,ถุงน่อง,0.17
ฟุตบอล,ซอคเกอร์,3.73
เชื้อโรค,เชื้อโรค,4
สาธารณรัฐ,ดยุค,0.48
ลูกบอล,ทรงกลม,1.89
โมซาร์ท,สตาร์ วอร์ส,0.06
หน้ากาก,ปาร์ตี้,1.23
เกมแกรนด์ เตฟท์ ออโต,จีทีเอ,3.52
ทางหลวง,ถนน,2.97
ปฏิกิริยาลูกโซ่,เทอร์โมไดนามิกส์,2.06
ภาพประกอบ,ตุ่ม,0.13
มานุษยวิทยา,โบราณคดี,1.52
บริษัทเดล,เมืองดิงเกิล,0.31
น้ำผลไม้,ช้อน,0.16
บริษัทยาไฟเซอร์,ยา,2.14
รถบรรทุก,พัสดุ,1.56
อวัยวะรับสัมผัส,โมเลกุลโปรตีน,0.48
กูเกิลไดร์ฟ,คนขับรถ,0.06
มหาเศรษฐี,คนจรจัด,1.91
ตอน,บท,3.42
ค่าอนันต์,ศูนย์,1.41
คนใช้,ทาส,2.91
คำเสริมท้าย,คำต่อท้าย,3.44
ภาวะโลกร้อน,ความร้อน,2.58
โกรทฮอร์โมน,ฮอร์โมนการเจริญเติบโต,3.8
ท้องฟ้า,ความฝัน,0.69
ราคาเสนอซื้อ,ลอนดอน,0.06
ปุ๋ย,การเติบโต,1.91
แฮชแท็ก,หัวข้อ,1.81
กลุ่มดาวนายพราน,กลุ่มดาว,2.67
นิทเช,เชลซี,0.25
การเคารพซึ่งกันและกัน,การแข่งขัน,1.08
สาขา,แขน,0.63
เหยื่อ,โทรศัพท์,0.25
ส่วนเบี่ยงเบนมาตรฐาน,การสะสม,0.19
หิมะถล่ม,หิมะ,2.34
ครู,นักเรียน,2.25
ปศุสัตว์,โยเกิร์ต,0.5
การกีดกันทางเพศ ,การกีดกันทางเพศ,4
ขั้วโลกใต้,เต้นรำ,0.06
อัยการ,ทนาย,2.56
แรคเก็ต,ลูกบอล,1.17
สินเชื่อธนาคาร,หนี้,2.55
มุมมอง,ระยะทาง,0.47
เฟเดอเรอร์,ดีแลน,1.19
ทนายความ,แกลเลอรี่,0.06
อายุขัย,ค่าสถิติ,0.94
เยื่อหุ้มเซลล์,ตัวก่อไวรัส ,0.83
สหภาพยุโรป,มอสโคว์,1.2
โลก,เอเซีย,1.94
เพนท์,โฟโต้ชอป,2.31
วุฒิสภา,รัฐธรรมนูญ,2.08
ผักชีฝรั่ง,มัฟฟิน,0.75
จิตใจ,สมอง,2.06
รถเมอร์ซีเดส,รถโอเปิล,3.09
ฆ้อน,ฟัน,0.39
ยุคเรอเนซ็องส์,ยุคเรอเนซ็องส์,3.94
กระโปรง,นาฬิกา,0.66
โอเปร่า,ภาพยนตร์,1.58
ครู,ผู้สอน,3.94
ดวงอาทิตย์,สายเคเบิ้ล,0.06
การถดถอย,จีดีพี,1.38
ซีซาร์,จูเลียส ซีซาร์,3.45
คนไข้,เซสชั่น,0.25
พฤติกรรมนิยม,การบำบัด,0.97
จักรพรรดิ,รัฐธรรมนูญ,1.27
นักคณิตศาสตร์,แสดง,0.48
เอนโทรปี,สารสนเทศ,0.95
น้ำกุหลาบ,น้ำมันดอกกุหลาบ,2.81
ผลไม้รสเปรี้ยว,ส้มโอ,2.28
พระราชินิวิคตอเรีย,ประเทศอังกฤษ,2.23
กีฬาโอลิมปิก,น้ำใจ,1.13
บาทหลวง,มุสลิม,1.3
มนุษย์,ผู้ต้องสงสัย,0.89
อุกกาบาต,โลก,1.39
สัญลักษณ์,สัญญาณ,2.42
มานุษยวิทยา,นิวยอร์ก,0.27
พระอาทิตย์ตก,โต๊ะ,0
เมือง,เมืองใหญ่,3.28
แจ็กเก็ต,น้ำแร่,0
ธรรมชาติ,พืชพรรณ,2.45
ซับรูทีน,คอมไพเลอร์,1.31
เมืองฮอมาดอน,กรุงโรม,1.36
ร่ม,เครื่องทำความร้อน,0.39
เกียรติ,เคารพนับถือ,2.44
เหรียญตรา,เกียรติ,2.19
เคเอฟซี,แมคโดนัลด์,3.17
จอยสติ๊ก,เรดาร์,0.83
ข้าวบาสมาติก,ข้าวหอมมะลิ,3.08
เหรียญ,ผู้ฝึก,0.77
กฎ,สระว่ายน้ำ,1.14
ที่มา,กล่อง,0.16
โรงละคร,แบตเตอรี่,0
พืชพรรณ,เว็บเบราเซอร์,0
เสื้อเชิ้ต,เสื้อไหมพรม,2.89
บทกวี,จังหวะ,1.25
ศาสดา,นักบวช,2.08
รางวัลออสการ์,สนามกีฬา,0.06
แบคแกมมอน,โก,0.47
ผีเสื้อ,กุหลาบ,1.23
รั้ว,กระโดด,0.98
ลัทธิทำลาย,ภาพยนตร์,0.19
ดาวเคราะห์น้อย ,ดาว,3.02
จลาจล,การวาดภาพ,0.13
ชุดชั้นใน,ร่างกาย,1.2
โบอิ้ง,เครื่องบิน,2.84
นักแสดงรับเชิญผ่านหน้ากล้อง,การแสดง,2.39
ภาคการศึกษา,เทอม,3.78
ส้ม,สกุลส้ม,1.92
ธารน้ำแข็ง,ภาวะโลกร้อน,1.59
อุโมงค์,เส้นทาง,1.84
