ความรัก,เพศ,6.1
เสือ,แมว,7.05
เสือ,เสือ,10
หนังสือ,เอกสาร,7.8
คอมพิวเตอร์,แป้นพิมพ์,7.4
คอมพิวเตอร์,อินเทอร์เน็ต,7.45
เครื่องบิน,รถยนต์,6.5
รถไฟ,รถยนต์,6.65
โทรศัพท์,การสื่อสาร,7.4
โทรทัศน์,วิทยุ,6.9
สื่อ,วิทยุ,7.1
ยา,ใช้ในทางที่ผิด,4.45
ขนมปัง,เนย,6.8
แตงกวา,มันฝรั่ง,5.8
หมอ,พยาบาล,7.3
ศาสตราจารย์,หมอ,6.2
นักศึกษา,ศาสตราจารย์,6.8
ฉลาด,นักเรียน,4.5
ฉลาด,โง่,5.9
บริษัท,หุ้น,5.8
คลังสินค้า,ตลาด,5.4
คลังสินค้า,โทรศัพท์,4.8
คลังสินค้า,แผ่นซีดี,4.7
คลังสินค้า,เสือจากัวร์,2
คลังสินค้า,ไข่,4.8
อุดมสมบูรณ์,ไข่,3.7
สัตว์เลี้ยง,อยู่อาศํย,4.55
สัตว์เลี้ยง,ชีวิต,6.4
หนังสือ,ห้องสมุด,8.1
ธนาคาร,เงิน,8.5
ไม้,ป่า,8.25
เงิน,เงินสด,9.1
ศาสตราจารย์,แตงกวา,0.2
กษัตริย์,กะหล่ำปลี,0.2
กษัตริย์,ราชินี,8.3
กษัตริย์,ทุจริต,1.8
หัวหน้าบาทหลวง,พระในศาสนายิว,6.9
เมืองเยรูซาเล็ม,ประเทศอิสราเอล,8.5
เมืองเยรูซาเล็ม,ชาวปาเลสไตน์,8.3
ที่เคร่งศาสนา,เพศ,3.7
มีเพศสัมพันธ์,เพศ,7.9
ดีเอโก มาราโดน่า,ฟุตบอล,8.5
ฟุตบอล,ซอกเกอร์,9
ฟุตบอล,บาสเกตบอล,7.8
ฟุตบอล,เทนนิส,7.2
เทนนิส,ไม้เทนนิส,7.9
ยัสเตอร์ อาราฟัท,สันติภาพ,5.8
ยัสเตอร์ อาราฟัท,ความหวาดกลัว,3.8
ยัสเตอร์ อาราฟัท,ไมเคิล แจ็คสัน,2.6
กฎหมาย,ทนายความ,8.1
ภาพยนตร์,นำแสดงโดย,6.8
ภาพยนตร์,ข้าวโพดคั่ว,5.3
ภาพยนตร์,นักวิจารณ์,6.2
ภาพยนตร์,โรงละคร,6.7
ฟิสิกส์,โปรตอน,7.3
ฟิสิกส์,เคมี,7.5
อวกาศ,เคมี,4.7
แอลกอฮอล์,เคมี,7.15
เหล้าวอดก้า,เหล้าจิน,6.9
เหล้าวอดก้า,บรั่นดี,7.7
ดื่ม,รถยนต์,2.45
ดื่ม,หู,0.8
ดื่ม,ปาก,6.9
ดื่ม,กิน,7.4
ทารก,แม่,7.6
ดื่ม,แม่,2.75
รถยนต์,รถยนต์,10
อัญมณี,เพชรพลอย,8.8
การเดินทาง,การเดินทาง,10
เด็กผู้ชาย,เด็กหนุ่ม,9
ชายฝั่ง,ชายฝั่ง,10
ที่หลบภัย,โรงพยาบาลโรคประสาท,1.8
นักมายากล,พ่อมด,3.6
เที่ยงวัน,เที่ยง,7.7
เตาหลอม,เตาไฟ,6.95
อาหาร,ผลไม้,7.2
นก,ไก่ตัวผู้,6.65
นก,นกกระเรียน,7.7
เครื่องมือ,อุปกรณ์เครื่องใช้,7.6
น้องชาย,พระ,4.15
ปั้นจั่น,ดำเนินการ,2.65
เด็กหนุ่ม,พี่ชายหรือน้องชาย,5.9
การเดินทาง,รถยนต์,7.6
พระ,พยากรณ์,1.75
สุสาน,ป่าไม้,3.9
อาหาร,ไก่ตัวผู้,5.05
ชายฝั่ง,เนินเขา,5.15
ป่า,สุสาน,4.95
ชายฝั่ง,ป่า,5.75
พระ,ทาส,1.5
ชายฝั่ง,ป่า,5.85
เด็กหนุ่ม,พ่อมด,2.3
คอร์ด,ยิ้ม,0.5
กระจก,นักมายากล,2.15
เที่ยงวัน,เชือก,0.4
ไก่ตัวผู้,การเดินทาง,0.4
เงิน,ดอลล่าร์,8.1
เงิน,เงินสด,9.3
เงิน,สกุลเงิน,8.7
เงิน,ความร่ำรวย,7.5
เงิน,ทรัพย์สมบัติ,7.7
เงิน,สิ่งที่ครอบครองอยู่,6.8
เงิน,ธนาคาร,7.8
เงิน,เงินมัดจำ,7.65
เงิน,ถอนเงิน,7.25
เงิน,ฟอกเงิน,7.05
เงิน,การดำเนินการ,3.55
เสือ,เสือจากัวร์,8.4
เสือ,สัตว์ตระกูลแมว,7.4
เสือ,สัตว์กินเนื้อ,8
เสือ,สัตว์เลี้ยงลูกด้วยนม,8.3
เสือ,สัตว์,9
เสือ,สิ่งมีชีวิต,8.3
เสือ,สัตว์ป่า,8.5
เสือ,สวนสัตว์,7.2
จิตวิทยา,จิตเวช,8.6
จิตวิทยา,ความวิตกกังวล,7.5
จิตวิทยา,กลัว,6.45
จิตวิทยา,ความหดหู่,6.3
จิตวิทยา,สถานรักษาพยาบาล,7
จิตวิทยา,แพทย์,7.5
จิตวิทยา,ซิกมัน ฟรอยด์,7.4
จิตวิทยา,จิตใจ,7.9
จิตวิทยา,สุขภาพ,7.15
จิตวิทยา,วิทยาศาสตร์,6.3
จิตวิทยา,กฎระเบียบ,3.9
จิตวิทยา,การรับรู้,5.6
ดาวเคราะห์,ดาว,8.6
ดาวเคราะห์,กลุ่มดาว,7.9
ดาวเคราะห์,พระจันทร์,6.6
ดาวเคราะห์,ดวงอาทิตย์,6.3
ดาวเคราะห์,กลุ่มดาวกาแล็กซี่,7.25
ดาวเคราะห์,อวกาศ,7.8
ดาวเคราะห์,นักดาราศาสตร์,7.15
ที่มาก่อน,ตัวอย่าง,3.85
ที่มาก่อน,ข่าวสาร,2.7
ที่มาก่อน,การรับรู้,2.3
ที่มาก่อน,กฎหมาย,2.25
ที่มาก่อน,รวบรวม,2.9
ที่มาก่อน,กลุ่ม,2.3
ที่มาก่อน,บรรพบุรุษ,6.2
ถ้วย,กาแฟ,6.7
ถ้วย,เครื่องใช้สำหรับโต๊ะอาหาร,7.8
ถ้วย,บทความ,1.75
ถ้วย,สิ่งประดิษฐ์,4.5
ถ้วยรางวัล,วัตถุ,7.2
ถ้วย,สิ่ง,4.25
ถ้วย,ดื่ม,5.3
ถ้วย,อาหาร,5.9
ถ้วย,สสาร,5.35
ถ้วย,ของเหลว,4
เสือจากัวร์,แมว,6.2
รถยนต์ยี่ห้อจากัวร์,รถยนต์,8.65
พลังงาน,เลขานุการ,0.3
เลขาธิการ,วุฒิสภา,5.9
พลังงาน,ห้องทดลอง,4.85
คอมพิวเตอร์,ห้องทดลอง,6.25
อาวุธ,ความลับ,3.45
สำนักงานสืบสวนของสหรัฐอเมริกา,ลายนิ้วมือ,6.95
สำนักงานสืบสวนของสหรัฐอเมริกา,การสืบสวน,7.4
การสืบสวน,ความพยายาม,6.35
ดาวอังคาร,น้ำ,3.8
ดาวอังคาร,นักวิทยาศาสตร์,6.3
ข่าว,รายงาน,7.7
หุบเขาลึก,ภูมิประเทศ,7.9
มโนภาพ,ภายนอก,4.75
ค้นพบ,ที่ว่าง,1.75
น้ำ,การรั่วซึม,5.6
สัญลักษณ์,ช่วงเวลาหยุดพักระหว่างวิชา,0.5
วันพุธ,ข่าว,1.2
ไมล์,กิโลเมตร,7.4
คอมพิวเตอร์,ข่าว,4.1
อาณาเขต,พื้นผิว,5.25
บรรยากาศ,ทิวทัศน์,7.4
ประธาน,เหรียญรางวัล,4.7
สงคราม,กองทหาร,8
บันทึก,จำนวนเลข,5
ผิวหนัง,ดวงตา,6.8
ชาวญี่ปุ่น,ชาวอเมริกัน,7.5
ละครเวที,ประวัติศาสตร์,4.65
อาสาสมัคร,คำขวัญ,1.85
อคติ,จำได้,2.8
การตกแต่ง,กล้าหาญ,0.75
ศตวรรษ,ปี,7.3
ศตวรรษ,ชาติ,2.65
ล่าช้า,การเหยียดเชื้อชาติ,0.5
ล่าช้า,ข่าว,3.3
รัฐมนตรี,พรรค,7.1
สันติภาพ,แผน,3.95
ส่วนน้อย,สันติภาพ,1.9
ความพยายาม,สันติภาพ,2.5
รัฐบาล,วิกฤตการณ์,4.9
การเคลื่อนกำลังพล,การออกจาก,7.55
การเคลื่อนกำลังพล,การถอน,6.65
พลังงาน,ช่วงวิกฤต,4.3
การประกาศ,ข่าว,7.3
การประกาศ,พยายาม,2.8
โรคหลอดเลือดในสมอง,โรงพยาบาล,7.3
ความพิการ,ความตาย,4.7
เหยื่อ,ฉุกเฉิน,3.7
รักษา,การกู้คืน,6.75
วารสาร,สมาคม,3.05
แพทย์,บุคลากร,7.4
แพทย์,หนี้สิน,1.6
หนี้สิน,ประกัน,4
โรงเรียน,ศูนย์กลาง,4
เหตุผล,ความดันโลหิตสูง,1.6
เหตุผล,เกณฑ์,4.6
หนึ่งร้อย,เปอร์เซ็นต์,6.6
มหาวิทยาลัยฮาร์วาร์ด,มหาวิทยาลัยเยล,8.1
โรงพยาบาล,โครงสร้างพื้นฐาน,4.15
ตาย,แถว,1
ตาย,นักโทษ,4.1
ทนายความ,หลักฐาน,6.8
ชีวิต,ความตาย,6.6
ชีวิต,ระยะเวลาที่กำหนด,3.1
คำ,ความคล้ายคลึง,3.85
คณะกรรมการ,การแนะนำ,4.95
ผู้ปกครอง,สัมภาษณ์,2.6
กลุ่มประเทศผู้ส่งออกน้ำมัน,ประเทศ,5.1
สันติภาพ,ชั้นบรรยากาศ,0.7
สันติภาพ,ประกัน,1.1
ดินแดน,กิโลเมตร,3.85
เดินทาง,กิจกรรม,5
การแข่งขัน,ราคา,4.8
ผู้บริโภค,ความมั่นใจ,4.9
ผู้บริโภค,พลังงาน,4.15
คำถาม,สนามบิน,1.4
รถยนต์,เที่ยวบิน,3.45
สินเชื่อ,บัตร,3.9
ความน่าเชื่อถือ,ข่าวสาร,6.5
โรงแรม,การจอง,7.4
ร้านขายของชำ,เงิน,6.8
การลงทะเบียน,การเรียบเรียง,3.15
การจัดเตรียม,ที่พัก,4.3
เดือน,โรงแรม,2.8
รูปแบบ,ชนิด,6.7
การมาถึง,โรงแรม,3.8
เตียงนอน,ตู้,7.4
ตู้,เสื้อผ้า,7.7
สถานการณ์,สรุป,4.25
สถานการณ์,การแยกตัว,2.7
ความยุติธรรม,สนใจ,3.05
ทิศทาง,การรวมกัน,3.3
ถนน,ตำแหน่ง,4.45
ถนน,ถนนหลัก,8
ถนน,แนวตึก,5.2
ถนน,เด็ก,2.3
รายการ,ความใกล้ชิด,2.75
รายการ,หมวด,6.2
เซลล์,โทรศัพท์,2.95
การผลิต,การเดินด้วยเท้า,1.4
เกณฑ์มาตรฐาน,ดัชนี,5.6
สื่อมวลชน,การทำการค้า,4
สื่อมวลชน,ผลประโยชน์,5.4
เงินปันผล,การจ่ายเงิน,6.5
เงินปันผล,การคำนวณ,7.1
การคำนวณ,การคำนวณ,9.6
เงินตรา,ตลาด,6.9
กลุ่มประเทศผู้ส่งออกน้ำมัน,น้ำมัน,7.9
น้ำมัน,คลังสินค้า,5.8
การประกาศ,การผลิต,2.1
การประกาศ,การเตือน,7.8
กำไร,การเตือน,1.6
กำไร,ความสูญเสีย,2.9
สกุลเงินดอลลาร์,สกุลเงินเยน,7.9
สกุลเงินดอลลาร์,เงินชนิดเดียวกับดอลลาร์,9.2
สกุลเงินดอลลาร์,กำไร,4.55
สกุลเงินดอลลาร์,ความสูญเสีย,3.35
คอมพิวเตอร์,ซอฟต์แวร์,8.5
เครือข่าย,ฮาร์ดแวร์,7.1
โทรศัพท์,อุปกรณ์,6.9
อุปกรณ์,ผู้ผลิต,5.8
หรูหรา,รถยนต์,4.9
ห้า,เดือน,3.35
รายงาน,ได้รับ,3.9
นักลงทุน,รายได้,7
ของเหลว,น้ำ,8.6
กีฬาเบสบอล,ฤดู,3.8
เกม,ชัยชนะ,6.5
เกม,ทีม,6.1
การแข่งวิ่งมาราธอน,การแข่งวิ่งเร็วในระยะสั้น,7.1
นัดการแข่งกีฬา,ลำดับ,6.3
เกมกีฬา,เอาชนะ,6.6
เจ็ด,ลำดับ,5.85
อาหารทะเล,ทะเล,7
อาหารทะเล,อาหาร,8
อาหารทะเล,กุ้งลอปสเตอร์,8
กุ้งลอปสเตอร์,อาหาร,7.6
กุ้งลอปสเตอร์,ไวน์,5.9
อาหาร,การเตรียม,5.05
วิดีโอ,สถานที่เก็บเอกสารหรือบันทึกสำคัญ,4.4
เริ่ม,ปี,2.4
เริม,การแข่งขัน,4.2
เกม,รอบ,6.75
มวย,จำนวนยก,8
ชนะเลิศ,การแข่งขัน,6.95
การต่อสู้,การเอาชนะ,6.7
เส้น,ประกัน,1.2
วัน,ฤดูร้อน,3.25
ฤดูร้อน,ภัยแล้ง,6.75
ฤดูร้อน,ธรรมชาติ,7
วัน,รุ่งอรุณ,5.75
ธรรมชาติ,สภาพแวดล้อม,7.1
สภาพแวดล้อม,ระบบนิเวศ,7.4
ธรรมชาติ,ผู้ชาย,4.95
ผู้ชาย,ผู้หญิง,7.2
ผู้ชาย,ผู้ปกครอง,5.75
ฆาตกรรม,ฆาตกรรม,10
สบู่,อุปรากร,0.9
อุปรากร,การแสดงบนเวที,7.55
ชีวิต,บทเรียน,5.4
จดจ่อ,ชีวิต,2.05
การผลิต,กลุ่มคนงาน,7
โทรทัศน์,ฟิล์ม,6.6
คู่รัก,ทะเลาะวิวาท,5.2
คนดู,ต่อเนื่องกัน,3.1
ความเป็นไปได้,เด็กหญิง,1.5
ประชากร,การพัฒนา,5.5
จริยธรรม,สำคัญ,5.5
จริยธรรม,แต่งงาน,3.45
ประเทศเม็กซิโก,ประเทศบราซิล,8.1
เพศ,ความเท่าเทียม,7.55
ความผันแปร,ทัศนคติ,5.1
ครอบครัว,การวางแผน,5.7
อุปรากร,อุตสาหกรรม,1.3
น้ำตาล,เข้าใกล้,1.1
ฝึกฝน,สถาบัน,7.15
กระทรวง,วัฒนธรรม,5.7
ปัญหา,ท้าทาย,5.9
ขนาด,คุณสมบัติเด่น,3.05
ประเทศ,พลเมือง,7.7
ดาวเคราะห์,ประชาชน,2.15
การพัฒนา,ประเด็น,4
ประสบการณ์,ดนตรี,5.75
ดนตรี,โครงการ,4.9
กระจก,โลหะ,4.6
อลูมิเนียม,โลหะผสม,7.9
โอกาส,น่าเชื่อถือ,5.15
จัดแสดง,บันทึกสิ่งมีค่า,4.5
คอนเสิร์ต,พรสวรรค์,4.8
ดนตรีร็อค,ดนตรีแจ็ส,8
พิพิธภัณฑ์,โรงละคร,7
การสังเกต,สถาปัตยกรรม,3.8
อวกาศ,โลก,7.6
การสงวน,โลก,2.8
การเข้า,ตั๋ว,6.6
ฝนตกปรอยๆ,พายุ,5.35
ฝนตกปรอยๆ,น้ำท่วม,5.35
สภาพอากาศ,พยากรณ์,8
ความหายนะ,พื้นที่,3.1
ผู้ว่าการรัฐ,สำนักงาน,5.65
สถาปัตยกรรม,ศตวรรษ,3.85
